Architecture,Source Dataset,Target Dataset,Oracle
resnet18,oxford_pets,stanford_dogs,79.07925407925408
resnet18,cub200,stanford_dogs,59.044289044289044
resnet18,caltech101,stanford_dogs,78.85780885780885
resnet18,voc2007,stanford_dogs,79.8018648018648
resnet18,cifar10,stanford_dogs,77.16783216783217
resnet18,imagenet,stanford_dogs,79.74358974358975
googlenet,nabird,stanford_dogs,56.433566433566426
googlenet,oxford_pets,stanford_dogs,71.27039627039628
googlenet,cub200,stanford_dogs,68.86946386946387
googlenet,caltech101,stanford_dogs,70.1981351981352
googlenet,voc2007,stanford_dogs,72.4009324009324
googlenet,cifar10,stanford_dogs,70.5944055944056
googlenet,imagenet,stanford_dogs,71.56177156177156
alexnet,nabird,stanford_dogs,59.61538461538461
alexnet,oxford_pets,stanford_dogs,61.81818181818181
alexnet,cub200,stanford_dogs,60.641025641025635
alexnet,caltech101,stanford_dogs,61.421911421911425
alexnet,voc2007,stanford_dogs,61.7016317016317
alexnet,cifar10,stanford_dogs,59.84848484848485
alexnet,imagenet,stanford_dogs,62.074592074592076
resnet50,oxford_pets,nabird,77.02675273007755
resnet50,cub200,nabird,76.92932245361914
resnet50,caltech101,nabird,76.57207810660496
resnet50,stanford_dogs,nabird,76.92120326391426
resnet50,voc2007,nabird,77.04299110948728
resnet50,cifar10,nabird,77.12012341168352
resnet50,imagenet,nabird,77.19319611902732
resnet18,oxford_pets,nabird,69.89404457435148
resnet18,cub200,nabird,67.7789956562335
resnet18,caltech101,nabird,70.0523687735964
resnet18,stanford_dogs,nabird,70.11732229123534
resnet18,voc2007,nabird,70.28782527503755
resnet18,cifar10,nabird,69.23639020825722
resnet18,imagenet,nabird,70.01177282507206
googlenet,oxford_pets,nabird,53.805870174156624
googlenet,cub200,nabird,48.95465432549832
googlenet,caltech101,nabird,54.808590102707754
googlenet,stanford_dogs,nabird,52.66512402062274
googlenet,voc2007,nabird,53.87488328664799
googlenet,cifar10,nabird,47.97223237120936
googlenet,imagenet,nabird,52.83156740957252
alexnet,oxford_pets,nabird,46.27938131774449
alexnet,cub200,nabird,47.38359111760646
alexnet,caltech101,nabird,46.12105711849958
alexnet,stanford_dogs,nabird,47.16437299557504
alexnet,voc2007,nabird,46.68128120813543
alexnet,cifar10,nabird,46.31185807656396
alexnet,imagenet,nabird,46.470182275808874
resnet50,nabird,voc2007,96.06988999153782
resnet50,oxford_pets,voc2007,97.4680744672667
resnet50,cub200,voc2007,97.17285945072697
resnet50,caltech101,voc2007,97.29209939226095
resnet50,stanford_dogs,voc2007,97.43153319486115
resnet50,cifar10,voc2007,97.45653511808601
resnet50,imagenet,voc2007,97.47192091699361
resnet18,nabird,voc2007,94.1630125394261
resnet18,oxford_pets,voc2007,96.62474036464343
resnet18,cub200,voc2007,93.65624278790676
resnet18,caltech101,voc2007,96.56415878144473
resnet18,stanford_dogs,voc2007,96.170859296869
