Architecture,Source Dataset,Target Dataset,Oracle
resnet50,faster-rcnn_fpn_137257794,cub200,71.10804280289955
resnet50,faster-rcnn_fpn_137849458,cub200,68.31204694511564
resnet50,faster-rcnn_c4_137257644,cub200,69.05419399378667
resnet50,npid_imagenet,cub200,10.338280980324473
resnet101,retinanet_190397697,cub200,70.6420434932689
resnet101,panoptic-rcnn_fpn_139514519,cub200,66.53434587504314
resnet50,mask-rcnn_c4_137849525,cub200,65.41249568519157
resnet101,mask-rcnn_fpn_138205316,cub200,67.82878840179495
resnet101,faster-rcnn_c4_138204752,cub200,66.96582671729375
resnet50,mask-rcnn_fpn_137849600,cub200,67.3627890921643
resnet101,mask-rcnn_fpn_lvis_144219035,cub200,70.24508111839835
resnet50,clusterfit_imagenet,cub200,58.19813600276148
resnet50,panoptic-rcnn_fpn_139514569,cub200,66.05108733172247
resnet101,panoptic-rcnn_fpn_139797668,cub200,49.34414911977908
resnet50,panoptic-rcnn_fpn_139514544,cub200,68.10493614083535
resnet50,mask-rcnn_c4_137259246,caltech101,91.63498098859316
resnet50,pirl_imagenet,caltech101,93.68821292775665
resnet50,jigsaw_imagenet22k,caltech101,89.27756653992395
resnet50,keypoint-rcnn_fpn_137261548,caltech101,87.71863117870723
resnet101,simclr_imagenet,caltech101,-1.0
resnet50,moco_imagenet,caltech101,45.70342205323194
resnet50,simclr_imagenet,caltech101,53.269961977186306
resnet50,semisup_yfcc100m,caltech101,96.04562737642586
resnet101,keypoint-rcnn_fpn_138363331,caltech101,89.9619771863118
resnet50,faster-rcnn_c4_voc_142202221,caltech101,92.16730038022814
resnet50,retinanet_190397773,caltech101,90.91254752851711
resnet50,semisup_instagram,caltech101,96.57794676806084
resnet50,mask-rcnn_fpn_cityscapes_142423278,caltech101,88.44106463878327
resnet50,mask-rcnn_fpn_lvis_144219072,caltech101,90.38022813688214
resnet50,mask-rcnn_fpn_137260431,caltech101,91.1787072243346
resnet101,faster-rcnn_fpn_137851257,caltech101,92.16730038022814
resnet50,supervised_places205,caltech101,88.06083650190114
resnet50,retinanet_190397829,caltech101,91.55893536121673
resnet101,mask-rcnn_c4_138363239,caltech101,92.16730038022814
resnet50,deepclusterv2_imagenet,caltech101,71.40684410646388
resnet50,keypoint-rcnn_fpn_137849621,caltech101,86.61596958174906
resnet50,faster-rcnn_c4_137849393,caltech101,91.63498098859316
resnet50,rotnet_imagenet22k,caltech101,91.10266159695819
resnet50,swav_imagenet,caltech101,63.65019011406844
